Year,Region,Crop_Type,Season,Price_per_kg
2000,Abia,Maize,Wet,146.20142188926712
2000,Abia,Cassava,Wet,149.1463668813543
2000,Abia,Rice,Wet,165.65325043005663
2000,Abia,Yam,Wet,123.9108263170961
2000,Abia,Sorghum,Wet,144.8176957340171
2000,Abia,Millet,Wet,147.1459547381344
2000,Abia,Groundnut,Wet,165.77117373198286
2000,Abia,Beans,Wet,155.6327301359734
2000,Abia,Maize,Dry,137.61559483053134
2000,Abia,Cassava,Dry,203.92817033801464
2000,Abia,Rice,Dry,201.39935535546272
2000,Abia,Yam,Dry,129.56193082713875
2000,Abia,Sorghum,Dry,146.26404815331938
2000,Abia,Millet,Dry,140.86837797515986
2000,Abia,Groundnut,Dry,176.5454711963164
2000,Abia,Beans,Dry,146.16334330372598
2000,Adamawa,Maize,Wet,111.23073306950344
2000,Adamawa,Cassava,Wet,173.1709239147626
2000,Adamawa,Rice,Wet,185.2477103615744
2000,Adamawa,Yam,Wet,129.29142370207896
2000,Adamawa,Sorghum,Wet,132.06700699163682
2000,Adamawa,Millet,Wet,117.5364056431456
2000,Adamawa,Groundnut,Wet,146.4084552980594
2000,Adamawa,Beans,Wet,138.66606462009378
2000,Adamawa,Maize,Dry,170.81887407551136
2000,Adamawa,Cassava,Dry,148.65704069172907
2000,Adamawa,Rice,Dry,196.0102408269622
2000,Adamawa,Yam,Dry,131.93304996650218
2000,Adamawa,Sorghum,Dry,143.68623974764233
2000,Adamawa,Millet,Dry,158.74966252903064
2000,Adamawa,Groundnut,Dry,151.84856949301795
2000,Adamawa,Beans,Dry,161.54983167972856
2000,Akwa Ibom,Maize,Wet,145.69802500907628
2000,Akwa Ibom,Cassava,Wet,97.38876825956395
2000,Akwa Ibom,Rice,Wet,132.87266062476436
2000,Akwa Ibom,Yam,Wet,126.82777073317561
2000,Akwa Ibom,Sorghum,Wet,140.43593641920646
2000,Akwa Ibom,Millet,Wet,149.40438752229028
2000,Akwa Ibom,Groundnut,Wet,127.10650444241884
2000,Akwa Ibom,Beans,Wet,118.01524648187875
2000,Akwa Ibom,Maize,Dry,131.86936234921242
2000,Akwa Ibom,Cassava,Dry,142.8772018466924
2000,Akwa Ibom,Rice,Dry,191.2259095994048
2000,Akwa Ibom,Yam,Dry,132.44610770889273
2000,Akwa Ibom,Sorghum,Dry,184.9698777253731
2000,Akwa Ibom,Millet,Dry,129.03427223632852
2000,Akwa Ibom,Groundnut,Dry,163.84810336522833
2000,Akwa Ibom,Beans,Dry,193.78376681199956
2000,Anambra,Maize,Wet,113.83092244905795
2000,Anambra,Cassava,Wet,118.67172347940244
2000,Anambra,Rice,Wet,182.23319654186648
2000,Anambra,Yam,Wet,115.64254601033538
2000,Anambra,Sorghum,Wet,124.02230343580175
2000,Anambra,Millet,Wet,129.53731491142804
2000,Anambra,Groundnut,Wet,147.42988079800887
2000,Anambra,Beans,Wet,100.0793578913698
2000,Anambra,Maize,Dry,140.50084442262482
2000,Anambra,Cassava,Dry,165.17586017624419
2000,Anambra,Rice,Dry,186.61217953975725
2000,Anambra,Yam,Dry,159.1421444000677
2000,Anambra,Sorghum,Dry,146.93007165643462
2000,Anambra,Millet,Dry,154.775325033758
2000,Anambra,Groundnut,Dry,161.11520808666575
2000,Anambra,Beans,Dry,188.06362565529557
2000,Bauchi,Maize,Wet,85.5079905615856
2000,Bauchi,Cassava,Wet,155.17415621038518
2000,Bauchi,Rice,Wet,166.84770628603405
2000,Bauchi,Yam,Wet,139.65629780030633
2000,Bauchi,Sorghum,Wet,143.96862859662969
2000,Bauchi,Millet,Wet,163.38099089444268
2000,Bauchi,Groundnut,Wet,163.70385581777674
2000,Bauchi,Beans,Wet,129.59323984445697
2000,Bauchi,Maize,Dry,133.5091466512013
2000,Bauchi,Cassava,Dry,147.2936065681109
2000,Bauchi,Rice,Dry,197.43152744984906
2000,Bauchi,Yam,Dry,176.50393146286424
2000,Bauchi,Sorghum,Dry,135.34400940549668
2000,Bauchi,Millet,Dry,192.24851014468229
2000,Bauchi,Groundnut,Dry,152.64393498020772
2000,Bauchi,Beans,Dry,142.167467083013
2000,Bayelsa,Maize,Wet,119.18371696171438
2000,Bayelsa,Cassava,Wet,167.68338059397757
2000,Bayelsa,Rice,Wet,183.64917332840028
2000,Bayelsa,Yam,Wet,138.98037530706475
2000,Bayelsa,Sorghum,Wet,146.25756982619572
2000,Bayelsa,Millet,Wet,126.7880111172187
2000,Bayelsa,Groundnut,Wet,135.9525687666522
2000,Bayelsa,Beans,Wet,152.5355892365003
2000,Bayelsa,Maize,Dry,168.94048985615123
2000,Bayelsa,Cassava,Dry,185.25572516211022
2000,Bayelsa,Rice,Dry,202.4574284135597
